Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,15420.000000,16000.000000,15380.000000,15600.000000,15534.721680,4610995
2017-02-06,15620.000000,17260.000000,15400.000000,17020.000000,16948.779297,14775160
2017-02-13,17080.000000,17120.000000,16440.000000,16940.000000,16869.115234,11400625
2017-02-20,16880.000000,18040.000000,16720.000000,17620.000000,17546.269531,18903320
2017-02-27,17500.000000,17580.000000,16880.000000,17160.000000,17088.193359,7630475
2017-03-06,17000.000000,17160.000000,16320.000000,17060.000000,16988.611328,8993895
2017-03-13,17080.000000,17100.000000,16300.000000,16800.000000,16729.697266,9874430
2017-03-20,16940.000000,17340.000000,16500.000000,16820.000000,16749.615234,11732645
2017-03-27,16680.000000,16840.000000,16480.000000,16620.000000,16550.453125,6603025
2017-04-03,16700.000000,17740.000000,16660.000000,17320.000000,17247.527344,48059880
2017-04-10,17420.000000,18040.000000,16820.000000,17760.000000,17685.681641,22722270
2017-04-17,18000.000000,18380.000000,17300.000000,18000.000000,17924.679688,21975265
2017-04-24,18120.000000,18820.000000,17860.000000,18080.000000,18004.343750,17132215
2017-05-01,18080.000000,18980.000000,18080.000000,18800.000000,18721.332031,5948460
2017-05-08,18840.000000,19200.000000,18680.000000,19160.000000,19079.824219,11984605
2017-05-15,19160.000000,19680.000000,18700.000000,19600.000000,19517.982422,14431515
2017-05-22,19800.000000,20200.000000,19540.000000,19940.000000,19856.560547,11310355
2017-05-29,20040.000000,20180.000000,19600.000000,20160.000000,20075.640625,11246650
2017-06-05,20300.000000,22020.000000,20240.000000,21960.000000,21868.109375,17208195
2017-06-12,21400.000000,21680.000000,20420.000000,20580.000000,20493.882813,19875855
2017-06-19,20480.000000,21000.000000,19420.000000,20300.000000,20215.054688,14998075
2017-06-26,20340.000000,20880.000000,19940.000000,20300.000000,20215.054688,10568025
2017-07-03,20480.000000,21180.000000,19600.000000,20320.000000,20234.968750,16018705
2017-07-10,20500.000000,20700.000000,19520.000000,19800.000000,19717.146484,9229605
2017-07-17,19840.000000,21600.000000,19840.000000,21600.000000,21509.613281,11502510
2017-07-24,21700.000000,22800.000000,20800.000000,22200.000000,22107.105469,19316545
2017-07-31,22700.000000,24900.000000,22000.000000,22100.000000,22007.523438,48646315
2017-08-07,22200.000000,22700.000000,21300.000000,22000.000000,21907.939453,16771090
2017-08-14,22500.000000,23200.000000,22200.000000,22700.000000,22605.013672,9817260
2017-08-21,22800.000000,23700.000000,22600.000000,23500.000000,23401.664063,9413255
2017-08-28,23600.000000,25000.000000,23300.000000,24400.000000,24297.896484,16914965
2017-09-04,24400.000000,26000.000000,24100.000000,25900.000000,25791.619141,17109030
2017-09-11,26000.000000,27200.000000,25400.000000,27100.000000,26986.601563,29579485
2017-09-18,27300.000000,28900.000000,26400.000000,27700.000000,27584.089844,22096925
2017-09-25,27200.000000,29000.000000,26800.000000,28800.000000,28679.486328,11108140
2017-10-02,28800.000000,28800.000000,28800.000000,28800.000000,28679.486328,0
2017-10-09,28800.000000,33600.000000,28800.000000,30500.000000,30372.371094,26040950
2017-10-16,30100.000000,31800.000000,29000.000000,30000.000000,29874.464844,29083315
2017-10-23,29800.000000,30600.000000,27300.000000,28700.000000,28579.904297,23640620
2017-10-30,28800.000000,30600.000000,28100.000000,30500.000000,30372.371094,16369875
2017-11-06,30700.000000,32500.000000,29900.000000,30500.000000,30372.371094,20861850
2017-11-13,30600.000000,31900.000000,30400.000000,31500.000000,31368.189453,13757755
2017-11-20,31700.000000,33200.000000,29300.000000,29600.000000,29476.136719,44892670
2017-11-27,29500.000000,30200.000000,27000.000000,28000.000000,27882.833984,25608320
2017-12-04,28100.000000,28600.000000,26600.000000,27700.000000,27584.089844,15552135
2017-12-11,28100.000000,29000.000000,27600.000000,28500.000000,28380.742188,9992975
2017-12-18,27600.000000,27900.000000,25300.000000,25900.000000,25791.619141,17244560
2017-12-25,25900.000000,28300.000000,25000.000000,27400.000000,27285.343750,16237470
2018-01-01,27400.000000,31800.000000,27400.000000,31200.000000,31105.978516,29162665
2018-01-08,32100.000000,32500.000000,27600.000000,28100.000000,28015.324219,40486605
2018-01-15,28300.000000,29500.000000,26600.000000,27600.000000,27516.830078,39483835
2018-01-22,27600.000000,28200.000000,26900.000000,28000.000000,27915.623047,22312440
2018-01-29,28200.000000,29000.000000,27000.000000,28700.000000,28613.515625,26518380
2018-02-05,27900.000000,28000.000000,23400.000000,23600.000000,23528.880859,40391725
2018-02-12,23800.000000,25000.000000,23300.000000,24500.000000,24426.171875,11988320
2018-02-19,25200.000000,25200.000000,24300.000000,24700.000000,24625.568359,8974435
2018-02-26,24900.000000,26500.000000,24500.000000,25500.000000,25423.156250,14537900
2018-03-05,25500.000000,27100.000000,24600.000000,26800.000000,26719.242188,17174735
2018-03-12,27200.000000,28600.000000,26900.000000,28200.000000,28115.021484,21919300
2018-03-19,28000.000000,28100.000000,25900.000000,26100.000000,26021.349609,16922525
2018-03-26,25900.000000,26900.000000,25300.000000,26400.000000,26320.445313,13812380
2018-04-02,26500.000000,26700.000000,24400.000000,24500.000000,24426.171875,11721400
2018-04-09,24300.000000,25000.000000,23900.000000,24100.000000,24027.375000,9924770
2018-04-16,24100.000000,24300.000000,22700.000000,23000.000000,22930.689453,15048845
2018-04-23,22900.000000,23800.000000,22200.000000,22700.000000,22631.593750,12600160
2018-04-30,22700.000000,23300.000000,21900.000000,22400.000000,22332.500000,8736805
2018-05-07,22400.000000,23600.000000,22000.000000,23400.000000,23329.484375,9359405
2018-05-14,22900.000000,23800.000000,22200.000000,22700.000000,22631.593750,13009880
2018-05-21,22700.000000,22900.000000,22300.000000,22400.000000,22332.500000,4638430
2018-05-28,22200.000000,22300.000000,20600.000000,20900.000000,20837.019531,12606335
2018-06-04,20800.000000,22700.000000,20800.000000,22600.000000,22531.896484,8293790
2018-06-11,22600.000000,22900.000000,21800.000000,21900.000000,21834.007813,5090435
2018-06-18,21800.000000,22900.000000,21100.000000,22800.000000,22731.291016,8857630
